stimulus,mapping
resources/Set2B.jpg,CR2
resources/Set2B.jpg,CR2
resources/Set2B.jpg,CR2
resources/Set2A.jpg,CR1
resources/Set2A.jpg,CR1
resources/Set2B.jpg,CR2
resources/Set2C.jpg,CR3
resources/Set2B.jpg,CR2
resources/Set2A.jpg,CR1
resources/Set2B.jpg,CR2
resources/Set2C.jpg,CR3
resources/Set2C.jpg,CR3
resources/Set2A.jpg,CR1
resources/Set2C.jpg,CR3
resources/Set2A.jpg,CR1
resources/Set2C.jpg,CR3
resources/Set2A.jpg,CR1
resources/Set2C.jpg,CR3
resources/Set2C.jpg,CR3
resources/Set2B.jpg,CR2
resources/Set2A.jpg,CR1
resources/Set2A.jpg,CR1
resources/Set2C.jpg,CR3
resources/Set2C.jpg,CR3
resources/Set2C.jpg,CR3
resources/Set2B.jpg,CR2
resources/Set2B.jpg,CR2
resources/Set2A.jpg,CR1
resources/Set2B.jpg,CR2
resources/Set2A.jpg,CR1
